Month Name,Month,Year,Query Count,Query Text,Month Num,,,,,,,,,,,
June,,2018,43,trash,,31014,,,,,,,,,,
July,,2018,43,public records,,31014,,,,,,,,,,
July,,2018,43,Wave country,,31014,,,,,,,,,,
July,,2018,43,Permits,,31014,,,,,,,,,,
July,,2018,43,Police,,31014,,,,,,,,,,
July,,2018,43,Inmates,,31014,,,,,,,,,,
August,,2018,43,public records,,31014,,,,,,,,,,
August,,2018,43,ems,,31014,,,,,,,,,,
September,,2018,43,zoning ordinance,,31014,,,,,,,,,,
September,,2018,43,marriage license,,31014,,,,,,,,,,
October,,2018,43,flu shot,,31014,,,,,,,,,,
October,,2018,43,accident reports,,31014,,,,,,,,,,
October,,2018,43,map parcel,,31014,,,,,,,,,,
October,,2018,43,map,,31014,,,,,,,,,,
November,,2018,43,register of deeds,,31014,,,,,,,,,,
November,,2018,43,trash collection,,31014,,,,,,,,,,
January,1,2019,43,Christmas tree,,31014,,,,,,,,,,
January,1,2019,43,short term rental,,31014,,,,,,,,,,
February,2,2019,43,pension,,31014,,,,,,,,,,
February,2,2019,43,trash,,31014,,,,,,,,,,
February,2,2019,43,Divorce,,31014,,,,,,,,,,
March,3,2019,43,certificate of occupancy,,31014,,,,,,,,,,
April,4,2019,43,arrest records,,31014,,,,,,,,,,
May,5,2019,43,Police reports,,31014,,,,,,,,,,
May,5,2019,43,planning,,31014,,,,,,,,,,
May,5,2019,43,gis,,31014,,,,,,,,,,
June,6,2019,43,parks,,31014,,,,,,,,,,
June,6,2019,43,trash,,31014,,,,,,,,,,
June,6,2019,43,im,,31014,,,,,,,,,,
June,6,2019,43,Pay,,31014,,,,,,,,,,
July,7,2019,43,police reports,,31014,,,,,,,,,,
July,7,2019,43,trustee,,31014,,,,,,,,,,
July,7,2019,43,stormwater,,31014,,,,,,,,,,
August,8,2019,43,certificate of occupancy,,31014,,,,,,,,,,
August,8,2019,43,pay,,31014,,,,,,,,,,
September,9,2019,43,certificate of occupancy,,31014,,,,,,,,,,
September,9,2019,43,county clerk,,31014,,,,,,,,,,
September,9,2019,43,Dyer Observatory,,31014,,,,,,,,,,
September,9,2019,43,Marriage,,31014,,,,,,,,,,
September,9,2019,43,warrant,,31014,,,,,,,,,,
October,10,2019,43,beer board,,31014,,,,,,,,,,
October,10,2019,43,Library,,31014,,,,,,,,,,
October,10,2019,43,r12,,31014,,,,,,,,,,
October,10,2019,43,records,,31014,,,,,,,,,,
October,10,2019,43,salary,,31014,,,,,,,,,,
November,11,2019,43,pay bill,,31014,,,,,,,,,,
December,12,2019,43,DMV,,31014,,,,,,,,,,
January,1,2020,43,bids,,31014,,,,,,,,,,
January,1,2020,43,auction,,31014,,,,,,,,,,
March,,2014,42,employee self service,,30868.5,,,,,,,,,,
March,,2014,42,metro water,,30868.5,,,,,,,,,,
March,,2014,42,bidding,,30868.5,,,,,,,,,,
June,,2014,42,im,,30868.5,,,,,,,,,,
July,,2014,42,gis,,30868.5,,,,,,,,,,
July,,2014,42,procurement,,30868.5,,,,,,,,,,
July,,2014,42,business license,,30868.5,,,,,,,,,,
August,,2014,42,civil service,,30868.5,,,,,,,,,,
September,,2014,42,benefits,,30868.5,,,,,,,,,,
September,,2014,42,property assessor,,30868.5,,,,,,,,,,
October,,2014,42,accident report,,30868.5,,,,,,,,,,
October,,2014,42,im,,30868.5,,,,,,,,,,
October,,2014,42,property,,30868.5,,,,,,,,,,
November,,2014,42,mugshots,,30868.5,,,,,,,,,,
December,,2014,42,holidays,,30868.5,,,,,,,,,,
January,,2015,42,inmate search,,30868.5,,,,,,,,,,
February,,2015,42,inmate search,,30868.5,,,,,,,,,,
May,,2015,42,arrest records,,30868.5,,,,,,,,,,
January,,2017,42,permits,,30868.5,,,,,,,,,,
July,,2015,42,inmate search,,30868.5,,,,,,,,,,
June,,2015,42,water,,30868.5,,,,,,,,,,
July,,2015,42,permits,,30868.5,,,,,,,,,,
July,,2015,42,arrest records,,30868.5,,,,,,,,,,
December,,2015,42,zoning,,30868.5,,,,,,,,,,
March,,2016,42,program coordinator,,30868.5,,,,,,,,,,
March,,2016,42,planning,,30868.5,,,,,,,,,,
May,,2016,42,planning,,30868.5,,,,,,,,,,
June,,2016,42,inside metro,,30868.5,,,,,,,,,,
July,,2016,42,police report,,30868.5,,,,,,,,,,
July,,2016,42,pension calculator,,30868.5,,,,,,,,,,
August,,2016,42,sheriff,,30868.5,,,,,,,,,,
November,,2016,42,water,,30868.5,,,,,,,,,,
December,,2016,42,civil service,,30868.5,,,,,,,,,,
December,,2016,42,inside metro,,30868.5,,,,,,,,,,
February,,2017,42,Warrants,,30868.5,,,,,,,,,,
February,,2017,42,property,,30868.5,,,,,,,,,,
February,,2017,42,parthenon,,30868.5,,,,,,,,,,
March,,2017,42,records,,30868.5,,,,,,,,,,
March,,2017,42,travel authorization,,30868.5,,,,,,,,,,
March,,2017,42,parks,,30868.5,,,,,,,,,,
March,,2017,42,budget hearings,,30868.5,,,,,,,,,,
March,,2017,42,Police,,30868.5,,,,,,,,,,
April,,2017,42,real estate,,30868.5,,,,,,,,,,
April,,2017,42,Owner driver report,,30868.5,,,,,,,,,,
April,,2017,42,METROPOLITAN CIVIL SERVICE COMMISSION 2015,,30868.5,,,,,,,,,,
April,,2017,42,E permits,,30868.5,,,,,,,,,,
April,,2017,42,map parcel owner,,30868.5,,,,,,,,,,
April,,2017,42,ESS,,30868.5,,,,,,,,,,
April,,2017,42,brush pickup,,30868.5,,,,,,,,,,
April,,2017,42,salaries,,30868.5,,,,,,,,,,
May,,2017,42,Ess,,30868.5,,,,,,,,,,
May,,2017,42,affordable housing,,30868.5,,,,,,,,,,
May,,2017,42,food truck,,30868.5,,,,,,,,,,
May,,2017,42,noise ordinance,,30868.5,,,,,,,,,,
May,,2017,42,traffic violations bureau,,30868.5,,,,,,,,,,
June,,2017,42,Job training,,30868.5,,,,,,,,,,
June,,2017,42,Wave country,,30868.5,,,,,,,,,,
June,,2017,42,birth certificates,,30868.5,,,,,,,,,,
June,,2017,42,finance,,30868.5,,,,,,,,,,
June,,2017,42,mapping,,30868.5,,,,,,,,,,
June,,2017,42,Criminal court clerk,,30868.5,,,,,,,,,,
July,,2017,42,holidays,,30868.5,,,,,,,,,,
July,,2017,42,food,,30868.5,,,,,,,,,,
July,,2017,42,Human Resources,,30868.5,,,,,,,,,,
July,,2017,42,HR,,30868.5,,,,,,,,,,
August,,2017,42,Codes,,30868.5,,,,,,,,,,
August,,2017,42,nashville planning department,,30868.5,,,,,,,,,,
August,,2017,42,assessor,,30868.5,,,,,,,,,,
August,,2017,42,crimnal court,,30868.5,,,,,,,,,,
August,,2017,42,motor vehicle accident,,30868.5,,,,,,,,,,
August,,2017,42,metro water services,,30868.5,,,,,,,,,,
August,,2017,42,Ebid,,30868.5,,,,,,,,,,
September,,2017,42,notary,,30868.5,,,,,,,,,,
September,,2017,42,Inmate search,,30868.5,,,,,,,,,,
November,,2017,42,isupplier,,30868.5,,,,,,,,,,
December,,2017,42,annual enrollment,,30868.5,,,,,,,,,,
December,,2017,42,Criminal court clerk,,30868.5,,,,,,,,,,
January,,2018,42,google,,30868.5,,,,,,,,,,
January,,2018,42,Accident report,,30868.5,,,,,,,,,,
March,,2018,42,Codes,,30868.5,,,,,,,,,,
March,,2018,42,clerk,,30868.5,,,,,,,,,,
March,,2018,42,animal control,,30868.5,,,,,,,,,,
April,,2018,42,fmla,,30868.5,,,,,,,,,,
April,,2018,42,permit application,,30868.5,,,,,,,,,,
April,,2018,42,business tax,,30868.5,,,,,,,,,,
April,,2018,42,alarm registration short term,,30868.5,,,,,,,,,,
June,,2018,42,codes administration construction permits,,30868.5,,,,,,,,,,
June,,2018,42,recycle,,30868.5,,,,,,,,,,
June,,2018,42,hr,,30868.5,,,,,,,,,,
July,,2018,42,permit application,,30868.5,,,,,,,,,,
July,,2018,42,codes administration construction permits,,30868.5,,,,,,,,,,
July,,2018,42,driver's license,,30868.5,,,,,,,,,,
July,,2018,42,active inmate search,,30868.5,,,,,,,,,,
August,,2018,42,Ebid,,30868.5,,,,,,,,,,
August,,2018,42,salary,,30868.5,,,,,,,,,,
August,,2018,42,divorce decree,,30868.5,,,,,,,,,,
August,,2018,42,PROPERTY MAPS,,30868.5,,,,,,,,,,
August,,2018,42,contracts,,30868.5,,,,,,,,,,
September,,2018,42,parking,,30868.5,,,,,,,,,,
September,,2018,42,finance,,30868.5,,,,,,,,,,
September,,2018,42,hr,,30868.5,,,,,,,,,,
September,,2018,42,stormwater,,30868.5,,,,,,,,,,
October,,2018,42,assessor,,30868.5,,,,,,,,,,
October,,2018,42,strp,,30868.5,,,,,,,,,,
October,,2018,42,property assessor nashville,,30868.5,,,,,,,,,,
October,,2018,42,tax assessor,,30868.5,,,,,,,,,,
October,,2018,42,employee service,,30868.5,,,,,,,,,,
October,,2018,42,nashville human resources,,30868.5,,,,,,,,,,
November,,2018,42,Ess,,30868.5,,,,,,,,,,
November,,2018,42,Water,,30868.5,,,,,,,,,,
January,1,2019,42,planning commission,,30868.5,,,,,,,,,,
January,1,2019,42,trustee,,30868.5,,,,,,,,,,
February,2,2019,42,salary,,30868.5,,,,,,,,,,
February,2,2019,42,election results,,30868.5,,,,,,,,,,
April,4,2019,42,salary,,30868.5,,,,,,,,,,
April,4,2019,42,pay plan,,30868.5,,,,,,,,,,
May,5,2019,42,marriage,,30868.5,,,,,,,,,,
May,5,2019,42,Inmates,,30868.5,,,,,,,,,,
May,5,2019,42,STD,,30868.5,,,,,,,,,,
May,5,2019,42,Centennial park,,30868.5,,,,,,,,,,
May,5,2019,42,election commission,,30868.5,,,,,,,,,,
June,6,2019,42,police department,,30868.5,,,,,,,,,,
June,6,2019,42,recycle,,30868.5,,,,,,,,,,
July,7,2019,42,beer board,,30868.5,,,,,,,,,,
July,7,2019,42,parking,,30868.5,,,,,,,,,,
August,8,2019,42,accident reports,,30868.5,,,,,,,,,,
August,8,2019,42,Dcso,,30868.5,,,,,,,,,,
August,8,2019,42,open data,,30868.5,,,,,,,,,,
September,9,2019,42,Music City bikeway,,30868.5,,,,,,,,,,
October,10,2019,42,Recycling,,30868.5,,,,,,,,,,
October,10,2019,42,Pay,,30868.5,,,,,,,,,,
October,10,2019,42,Sheriff,,30868.5,,,,,,,,,,
October,10,2019,42,stormwater,,30868.5,,,,,,,,,,
November,11,2019,42,sheriff,,30868.5,,,,,,,,,,
December,12,2019,42,certificate of occupancy,,30868.5,,,,,,,,,,
December,12,2019,42,arrest records,,30868.5,,,,,,,,,,
December,12,2019,42,Inmate,,30868.5,,,,,,,,,,
January,1,2020,42,jail,,30868.5,,,,,,,,,,
January,1,2020,42,public records,,30868.5,,,,,,,,,,
January,1,2020,42,W2,,30868.5,,,,,,,,,,
January,,2014,41,water,,30724.5,,,,,,,,,,
January,,2014,41,zoning,,30724.5,,,,,,,,,,
February,,2014,41,register of deeds,,30724.5,,,,,,,,,,
June,,2014,41,accident report,,30724.5,,,,,,,,,,
June,,2014,41,metro water,,30724.5,,,,,,,,,,
June,,2014,41,"""music city center""",,30724.5,,,,,,,,,,
July,,2014,41,early voting,,30724.5,,,,,,,,,,
July,,2014,41,isupplier,,30724.5,,,,,,,,,,
August,,2014,41,marriage license,,30724.5,,,,,,,,,,
October,,2014,41,warrants,,30724.5,,,,,,,,,,
October,,2014,41,register of deeds,,30724.5,,,,,,,,,,
October,,2014,41,Animal control,,30724.5,,,,,,,,,,
October,,2014,41,vote,,30724.5,,,,,,,,,,
November,,2014,41,register of deeds,,30724.5,,,,,,,,,,
November,,2014,41,property assessor,,30724.5,,,,,,,,,,
November,,2014,41,noise ordinance,,30724.5,,,,,,,,,,
December,,2014,41,inmate search,,30724.5,,,,,,,,,,
December,,2014,41,civil service,,30724.5,,,,,,,,,,
January,,2015,41,inside metro,,30724.5,,,,,,,,,,
January,,2015,41,im,,30724.5,,,,,,,,,,
January,,2015,41,animal shelter,,30724.5,,,,,,,,,,
April,,2015,41,media release,,30724.5,,,,,,,,,,
April,,2015,41,forms,,30724.5,,,,,,,,,,
May,,2015,41,inside metro,,30724.5,,,,,,,,,,
May,,2015,41,warrants,,30724.5,,,,,,,,,,
July,,2015,41,wave country,,30724.5,,,,,,,,,,
June,,2015,41,applications,,30724.5,,,,,,,,,,
September,,2015,41,John M Cassidy,,30724.5,,,,,,,,,,
October,,2015,41,public works,,30724.5,,,,,,,,,,
October,,2015,41,paramedic,,30724.5,,,,,,,,,,
October,,2015,41,animal shelter,,30724.5,,,,,,,,,,
November,,2015,41,civil service rules,,30724.5,,,,,,,,,,
December,,2015,41,pay scale,,30724.5,,,,,,,,,,
January,,2016,41,inmate search,,30724.5,,,,,,,,,,
April,,2016,41,criminal court clerk,,30724.5,,,,,,,,,,
June,,2016,41,benefits,,30724.5,,,,,,,,,,
June,,2016,41,permits,,30724.5,,,,,,,,,,
August,,2016,41,2016Z-012PR-001,,30724.5,,,,,,,,,,
September,,2016,41,inmate search,,30724.5,,,,,,,,,,
October,,2016,41,Early voting,,30724.5,,,,,,,,,,
October,,2016,41,vote,,30724.5,,,,,,,,,,
November,,2016,41,property tax,,30724.5,,,,,,,,,,
December,,2016,41,Jobs,,30724.5,,,,,,,,,,
February,,2017,41,metro holidays,,30724.5,,,,,,,,,,
February,,2017,41,fire department,,30724.5,,,,,,,,,,
February,,2017,41,zoning map,,30724.5,,,,,,,,,,
March,,2017,41,permit,,30724.5,,,,,,,,,,
April,,2017,41,public records,,30724.5,,,,,,,,,,
April,,2017,41,property tax map,,30724.5,,,,,,,,,,
April,,2017,41,nashville planning department,,30724.5,,,,,,,,,,
May,,2017,41,traffic accidents,,30724.5,,,,,,,,,,
May,,2017,41,business license,,30724.5,,,,,,,,,,
June,,2017,41,arrest records,,30724.5,,,,,,,,,,
June,,2017,41,permit application,,30724.5,,,,,,,,,,
June,,2017,41,permits issued,,30724.5,,,,,,,,,,
July,,2017,41,traffic violations bureau,,30724.5,,,,,,,,,,
July,,2017,41,zoning ordinance,,30724.5,,,,,,,,,,
August,,2017,41,solar eclipse glasses,,30724.5,,,,,,,,,,
August,,2017,41,iprocurement,,30724.5,,,,,,,,,,
September,,2017,41,business license,,30724.5,,,,,,,,,,
September,,2017,41,owner driver report,,30724.5,,,,,,,,,,
September,,2017,41,assessor,,30724.5,,,,,,,,,,
September,,2017,41,webpro,,30724.5,,,,,,,,,,
September,,2017,41,Criminal court,,30724.5,,,,,,,,,,
September,,2017,41,recycling,,30724.5,,,,,,,,,,
September,,2017,41,self service,,30724.5,,,,,,,,,,
September,,2017,41,Accident report,,30724.5,,,,,,,,,,
September,,2017,41,parks,,30724.5,,,,,,,,,,
September,,2017,41,holidays,,30724.5,,,,,,,,,,
October,,2017,41,E permits,,30724.5,,,,,,,,,,
October,,2017,41,burn permit,,30724.5,,,,,,,,,,
October,,2017,41,e permits,,30724.5,,,,,,,,,,
November,,2017,41,Longevity,,30724.5,,,,,,,,,,
November,,2017,41,short term rentals,,30724.5,,,,,,,,,,
November,,2017,41,epermits,,30724.5,,,,,,,,,,
November,,2017,41,council district,,30724.5,,,,,,,,,,
December,,2017,41,Media release,,30724.5,,,,,,,,,,
December,,2017,41,permit application,,30724.5,,,,,,,,,,
December,,2017,41,employment opportunities,,30724.5,,,,,,,,,,
January,,2018,41,Human resources,,30724.5,,,,,,,,,,
January,,2018,41,police reports,,30724.5,,,,,,,,,,
January,,2018,41,Police report,,30724.5,,,,,,,,,,
January,,2018,41,community education,,30724.5,,,,,,,,,,
January,,2018,41,short term rental permit,,30724.5,,,,,,,,,,
March,,2018,41,holidays,,30724.5,,,,,,,,,,
March,,2018,41,council,,30724.5,,,,,,,,,,
March,,2018,41,im,,30724.5,,,,,,,,,,
March,,2018,41,google,,30724.5,,,,,,,,,,
March,,2018,41,Naza,,30724.5,,,,,,,,,,
March,,2018,41,health department,,30724.5,,,,,,,,,,
March,,2018,41,Media release,,30724.5,,,,,,,,,,
March,,2018,41,owner driver,,30724.5,,,,,,,,,,
April,,2018,41,careers,,30724.5,,,,,,,,,,
April,,2018,41,public records requests,,30724.5,,,,,,,,,,
May,,2018,41,Criminal court clerk,,30724.5,,,,,,,,,,
May,,2018,41,Arrest records,,30724.5,,,,,,,,,,
May,,2018,41,planning commission,,30724.5,,,,,,,,,,
May,,2018,41,mapping,,30724.5,,,,,,,,,,
May,,2018,41,police department,,30724.5,,,,,,,,,,
June,,2018,41,construction,,30724.5,,,,,,,,,,
June,,2018,41,general sessions,,30724.5,,,,,,,,,,
June,,2018,41,Criminal court clerk,,30724.5,,,,,,,,,,
June,,2018,41,civil service commission,,30724.5,,,,,,,,,,
June,,2018,41,traffic,,30724.5,,,,,,,,,,
July,,2018,41,Historic Bed and Breakfast overlays,,30724.5,,,,,,,,,,
July,,2018,41,zoning ordinance,,30724.5,,,,,,,,,,
July,,2018,41,Criminal court clerk,,30724.5,,,,,,,,,,
July,,2018,41,Parthenon,,30724.5,,,,,,,,,,
July,,2018,41,police department,,30724.5,,,,,,,,,,
August,,2018,41,criminal warrants,,30724.5,,,,,,,,,,
August,,2018,41,building codes,,30724.5,,,,,,,,,,
August,,2018,41,smith springs community center,,30724.5,,,,,,,,,,
August,,2018,41,parks,,30724.5,,,,,,,,,,
September,,2018,41,careers,,30724.5,,,,,,,,,,
September,,2018,41,retirement,,30724.5,,,,,,,,,,
September,,2018,41,Divorce,,30724.5,,,,,,,,,,
October,,2018,41,warrants,,30724.5,,,,,,,,,,
October,,2018,41,parthenon,,30724.5,,,,,,,,,,
October,,2018,41,Ess,,30724.5,,,,,,,,,,
October,,2018,41,Property maps,,30724.5,,,,,,,,,,
November,,2018,41,Birth certificate,,30724.5,,,,,,,,,,
November,,2018,41,isupplier,,30724.5,,,,,,,,,,
November,,2018,41,permit application,,30724.5,,,,,,,,,,
November,,2018,41,Inmates,,30724.5,,,,,,,,,,
November,,2018,41,community oversight board,,30724.5,,,,,,,,,,
November,,2018,41,parcel viewer,,30724.5,,,,,,,,,,
November,,2018,41,Deborah Terry,,30724.5,,,,,,,,,,
January,1,2019,41,trash,,30724.5,,,,,,,,,,
January,1,2019,41,Media releases,,30724.5,,,,,,,,,,
February,2,2019,41,finance,,30724.5,,,,,,,,,,
March,3,2019,41,directory,,30724.5,,,,,,,,,,
April,4,2019,41,mugshots,,30724.5,,,,,,,,,,
April,4,2019,41,library,,30724.5,,,,,,,,,,
May,5,2019,41,building permit,,30724.5,,,,,,,,,,
May,5,2019,41,Records,,30724.5,,,,,,,,,,
July,7,2019,41,sample ballot,,30724.5,,,,,,,,,,
August,8,2019,41,building permit,,30724.5,,,,,,,,,,
August,8,2019,41,directory,,30724.5,,,,,,,,,,
September,9,2019,41,isupplier,,30724.5,,,,,,,,,,
September,9,2019,41,Property tax,,30724.5,,,,,,,,,,
September,9,2019,41,register of deeds,,30724.5,,,,,,,,,,
October,10,2019,41,careers,,30724.5,,,,,,,,,,
October,10,2019,41,iprocurement,,30724.5,,,,,,,,,,
October,10,2019,41,taxes,,30724.5,,,,,,,,,,
January,1,2020,41,epermits,,30724.5,,,,,,,,,,
January,1,2020,41,permit,,30724.5,,,,,,,,,,
January,1,2020,41,Vital records,,30724.5,,,,,,,,,,
January,1,2020,41,wic,,30724.5,,,,,,,,,,
February,,2014,40,accident report,,30566.5,,,,,,,,,,
February,,2014,40,business license,,30566.5,,,,,,,,,,
April,,2014,40,water,,30566.5,,,,,,,,,,
April,,2014,40,metro water,,30566.5,,,,,,,,,,
April,,2014,40,tax assessor,,30566.5,,,,,,,,,,
April,,2014,40,scholars academy,,30566.5,,,,,,,,,,
April,,2014,40,mapping,,30566.5,,,,,,,,,,
May,,2014,40,water,,30566.5,,,,,,,,,,
May,,2014,40,google,,30566.5,,,,,,,,,,
June,,2014,40,county clerk,,30566.5,,,,,,,,,,
June,,2014,40,water,,30566.5,,,,,,,,,,
July,,2014,40,register of deeds,,30566.5,,,,,,,,,,
July,,2014,40,careers,,30566.5,,,,,,,,,,
July,,2014,40,library,,30566.5,,,,,,,,,,
September,,2014,40,business license,,30566.5,,,,,,,,,,
October,,2014,40,mugshots,,30566.5,,,,,,,,,,
October,,2014,40,zoning,,30566.5,,,,,,,,,,
November,,2014,40,payroll,,30566.5,,,,,,,,,,
November,,2014,40,property taxes,,30566.5,,,,,,,,,,
December,,2014,40,library,,30566.5,,,,,,,,,,
April,,2015,40,Media releases,,30566.5,,,,,,,,,,
May,,2015,40,civil service,,30566.5,,,,,,,,,,
May,,2015,40,library,,30566.5,,,,,,,,,,
January,,2017,40,police report,,30566.5,,,,,,,,,,
January,,2017,40,open data,,30566.5,,,,,,,,,,
January,,2017,40,short term rental,,30566.5,,,,,,,,,,
July,,2015,40,media release,,30566.5,,,,,,,,,,
July,,2015,40,property tax,,30566.5,,,,,,,,,,
July,,2015,40,birth certificate,,30566.5,,,,,,,,,,
August,,2015,40,police report,,30566.5,,,,,,,,,,
September,,2015,40,benefits,,30566.5,,,,,,,,,,
October,,2015,40,media release,,30566.5,,,,,,,,,,
December,,2015,40,isupplier,,30566.5,,,,,,,,,,
May,,2016,40,pay scale,,30566.5,,,,,,,,,,
June,,2016,40,library,,30566.5,,,,,,,,,,
June,,2016,40,forms,,30566.5,,,,,,,,,,
July,,2016,40,civil service,,30566.5,,,,,,,,,,
August,,2016,40,fire department,,30566.5,,,,,,,,,,
September,,2016,40,metro maps,,30566.5,,,,,,,,,,
September,,2016,40,planning,,30566.5,,,,,,,,,,
September,,2016,40,short term rental,,30566.5,,,,,,,,,,
October,,2016,40,Jobs,,30566.5,,,,,,,,,,
October,,2016,40,procurement,,30566.5,,,,,,,,,,
February,,2017,40,forms,,30566.5,,,,,,,,,,
February,,2017,40,police department,,30566.5,,,,,,,,,,
February,,2017,40,homeless shelters in nashville tn,,30566.5,,,,,,,,,,
March,,2017,40,Codes,,30566.5,,,,,,,,,,
March,,2017,40,property taxes general services,,30566.5,,,,,,,,,,
March,,2017,40,fire department,,30566.5,,,,,,,,,,
March,,2017,40,nashville zone alliance naza,,30566.5,,,,,,,,,,
March,,2017,40,quitclaim deed,,30566.5,,,,,,,,,,
March,,2017,40,media releases,,30566.5,,,,,,,,,,
March,,2017,40,finance,,30566.5,,,,,,,,,,
March,,2017,40,google,,30566.5,,,,,,,,,,
March,,2017,40,property search,,30566.5,,,,,,,,,,
March,,2017,40,budget,,30566.5,,,,,,,,,,
April,,2017,40,codes administration,,30566.5,,,,,,,,,,
April,,2017,40,will connelly,,30566.5,,,,,,,,,,
April,,2017,40,copy birth certificate,,30566.5,,,,,,,,,,
April,,2017,40,warrants issued,,30566.5,,,,,,,,,,
April,,2017,40,short term rental permit,,30566.5,,,,,,,,,,
April,,2017,40,parking,,30566.5,,,,,,,,,,
April,,2017,40,quitclaim deed,,30566.5,,,,,,,,,,
May,,2017,40,trash,,30566.5,,,,,,,,,,
May,,2017,40,sheriff,,30566.5,,,,,,,,,,
May,,2017,40,comp time,,30566.5,,,,,,,,,,
May,,2017,40,records request,,30566.5,,,,,,,,,,
June,,2017,40,council district,,30566.5,,,,,,,,,,
July,,2017,40,budget,,30566.5,,,,,,,,,,
July,,2017,40,traffic,,30566.5,,,,,,,,,,
July,,2017,40,Accident report,,30566.5,,,,,,,,,,
July,,2017,40,im,,30566.5,,,,,,,,,,
July,,2017,40,sheriff,,30566.5,,,,,,,,,,
August,,2017,40,construction permits,,30566.5,,,,,,,,,,
August,,2017,40,epermit system,,30566.5,,,,,,,,,,
August,,2017,40,notary,,30566.5,,,,,,,,,,
August,,2017,40,water,,30566.5,,,,,,,,,,
August,,2017,40,recycle,,30566.5,,,,,,,,,,
August,,2017,40,Pay bill,,30566.5,,,,,,,,,,
August,,2017,40,volunteer,,30566.5,,,,,,,,,,
September,,2017,40,bids,,30566.5,,,,,,,,,,
September,,2017,40,inmate search,,30566.5,,,,,,,,,,
September,,2017,40,careers,,30566.5,,,,,,,,,,
September,,2017,40,traffic,,30566.5,,,,,,,,,,
September,,2017,40,fire department,,30566.5,,,,,,,,,,
October,,2017,40,accident reports,,30566.5,,,,,,,,,,
October,,2017,40,pension,,30566.5,,,,,,,,,,
October,,2017,40,Mugshots,,30566.5,,,,,,,,,,
October,,2017,40,landlord registration,,30566.5,,,,,,,,,,
October,,2017,40,fire department,,30566.5,,,,,,,,,,
October,,2017,40,isupplier,,30566.5,,,,,,,,,,
October,,2017,40,crimnal court,,30566.5,,,,,,,,,,
October,,2017,40,im,,30566.5,,,,,,,,,,
November,,2017,40,accident reports,,30566.5,,,,,,,,,,
November,,2017,40,strp,,30566.5,,,,,,,,,,
November,,2017,40,short term rental property,,30566.5,,,,,,,,,,
November,,2017,40,business license,,30566.5,,,,,,,,,,
December,,2017,40,isupplier,,30566.5,,,,,,,,,,
December,,2017,40,pension,,30566.5,,,,,,,,,,
January,,2018,40,Mugshots,,30566.5,,,,,,,,,,
January,,2018,40,recycling,,30566.5,,,,,,,,,,
January,,2018,40,permit application,,30566.5,,,,,,,,,,
March,,2018,40,internships,,30566.5,,,,,,,,,,
March,,2018,40,hr,,30566.5,,,,,,,,,,
March,,2018,40,lentz public health,,30566.5,,,,,,,,,,
March,,2018,40,marriage certificate,,30566.5,,,,,,,,,,
April,,2018,40,forms,,30566.5,,,,,,,,,,
April,,2018,40,hr,,30566.5,,,,,,,,,,
April,,2018,40,pension,,30566.5,,,,,,,,,,
April,,2018,40,police department,,30566.5,,,,,,,,,,
April,,2018,40,2017 homicides,,30566.5,,,,,,,,,,
May,,2018,40,Accident report,,30566.5,,,,,,,,,,
May,,2018,40,centennial sportsplex,,30566.5,,,,,,,,,,
May,,2018,40,council district,,30566.5,,,,,,,,,,
May,,2018,40,animal control,,30566.5,,,,,,,,,,
June,,2018,40,e permits,,30566.5,,,,,,,,,,
June,,2018,40,nashville codes administration,,30566.5,,,,,,,,,,
June,,2018,40,warrants issued,,30566.5,,,,,,,,,,
June,,2018,40,arrest records,,30566.5,,,,,,,,,,
June,,2018,40,bereavement leave,,30566.5,,,,,,,,,,
July,,2018,40,bereavement leave,,30566.5,,,,,,,,,,
September,,2018,40,forms,,30566.5,,,,,,,,,,
September,,2018,40,Ess,,30566.5,,,,,,,,,,
September,,2018,40,birth certificate,,30566.5,,,,,,,,,,
September,,2018,40,annual enrollment personnel services,,30566.5,,,,,,,,,,
October,,2018,40,contracts,,30566.5,,,,,,,,,,
October,,2018,40,Owner driver report,,30566.5,,,,,,,,,,
November,,2018,40,finance,,30566.5,,,,,,,,,,
November,,2018,40,landlord registration,,30566.5,,,,,,,,,,
January,1,2019,40,building permits,,30566.5,,,,,,,,,,
January,1,2019,40,Mugshots,,30566.5,,,,,,,,,,
February,2,2019,40,sheriff,,30566.5,,,,,,,,,,
February,2,2019,40,pay plan,,30566.5,,,,,,,,,,
February,2,2019,40,register of deeds,,30566.5,,,,,,,,,,
March,3,2019,40,public records,,30566.5,,,,,,,,,,
March,3,2019,40,building permits,,30566.5,,,,,,,,,,
April,4,2019,40,salaries,,30566.5,,,,,,,,,,
April,4,2019,40,stormwater,,30566.5,,,,,,,,,,
April,4,2019,40,assessor,,30566.5,,,,,,,,,,
April,4,2019,40,notary,,30566.5,,,,,,,,,,
May,5,2019,40,directory,,30566.5,,,,,,,,,,
May,5,2019,40,Open data,,30566.5,,,,,,,,,,
May,5,2019,40,pool,,30566.5,,,,,,,,,,
May,5,2019,40,Library,,30566.5,,,,,,,,,,
June,6,2019,40,epermits,,30566.5,,,,,,,,,,
June,6,2019,40,centennial park,,30566.5,,,,,,,,,,
June,6,2019,40,criminal court clerk,,30566.5,,,,,,,,,,
July,7,2019,40,mugshots,,30566.5,,,,,,,,,,
August,8,2019,40,criminal court clerk,,30566.5,,,,,,,,,,
